series_id,surface,base_temperature,monday_is_day_off,tuesday_is_day_off,wednesday_is_day_off,thursday_is_day_off,friday_is_day_off,saturday_is_day_off,sunday_is_day_off
100003,x-large,low,False,False,False,False,False,True,True
100004,x-large,low,False,False,False,False,False,True,True
100006,x-small,low,False,False,False,False,False,True,True
100008,x-small,low,False,False,False,False,False,True,True
100010,x-small,low,False,False,False,False,False,True,True
100012,x-large,low,False,False,False,False,False,True,True
100017,medium,low,False,False,False,False,False,True,True
100020,medium,low,False,False,False,False,False,True,True
100021,x-small,low,False,False,False,False,False,True,True
100025,x-small,low,False,False,False,False,False,True,True
100027,x-small,low,False,False,False,False,False,True,True
100028,x-small,low,False,False,False,False,False,True,True
100033,x-small,low,False,False,False,False,False,True,True
100036,large,low,False,False,False,False,False,True,True
100038,x-small,low,False,False,False,False,False,True,True
100040,xx-large,low,False,False,False,False,False,True,True
100043,x-small,low,False,False,False,False,False,True,True
100044,x-large,low,False,False,False,False,False,True,True
100045,xx-small,low,False,False,False,False,False,True,True
100046,xx-small,low,False,False,False,False,False,False,False
100049,x-small,low,False,False,False,False,False,True,True
100050,xx-large,low,False,False,False,False,False,True,True
100053,xx-large,low,False,False,False,False,False,True,True
100054,large,low,False,False,False,False,False,True,True
100060,x-small,low,False,False,False,False,False,True,True
100062,xx-large,high,False,False,False,False,False,True,True
100064,x-small,low,False,False,False,False,False,True,True
100069,large,low,False,False,False,False,False,True,True
100071,x-small,low,False,False,False,False,False,True,True
100072,medium,low,False,False,False,False,False,False,True
100074,x-large,low,False,False,False,False,False,True,True
100078,x-large,low,False,False,False,False,False,True,True
100080,large,low,False,False,False,False,False,True,True
100082,x-small,low,False,False,False,False,False,False,False
100085,small,low,False,False,False,False,False,True,True
100088,small,low,False,False,False,False,False,True,True
100090,small,low,False,False,False,False,False,True,True
100094,x-large,low,False,False,False,False,False,True,True
100096,medium,low,False,False,False,False,False,True,True
100099,large,low,False,False,False,False,False,True,True
100104,x-large,low,False,False,False,False,False,True,True
100110,x-small,low,False,False,False,False,False,True,True
100111,small,low,False,False,False,False,False,True,True
100118,x-large,low,False,False,False,False,False,True,True
100121,x-large,low,False,False,False,False,False,True,True
100128,small,low,False,False,False,False,False,True,True
100135,small,low,False,False,False,False,False,False,False
100137,x-large,low,False,False,False,False,False,True,True
100139,xx-large,low,False,False,False,False,False,True,True
100142,x-large,low,False,False,False,False,False,True,True
100146,small,low,False,False,False,False,False,True,True
100147,x-large,low,False,False,False,False,False,True,True
100148,x-large,low,False,False,False,False,False,True,True
100149,xx-large,low,False,False,False,False,False,True,True
100150,small,low,False,False,False,False,False,True,True
100152,x-large,low,False,False,False,False,False,True,True
100164,x-large,high,False,False,False,False,False,True,True
100167,x-small,low,False,False,False,False,False,True,True
100170,xx-small,low,False,False,False,False,False,True,True
100175,x-small,high,False,False,False,False,False,False,False
100176,x-large,low,False,False,False,False,False,True,True
100181,small,low,False,False,False,False,False,True,True
100182,x-small,low,False,False,False,False,False,True,True
100189,large,low,False,False,False,False,False,True,True
100191,x-large,low,False,False,False,False,False,True,True
100198,x-small,low,False,False,False,False,False,True,True
100200,x-large,low,False,False,False,False,False,True,True
100202,x-large,low,False,False,False,False,False,True,True
100203,x-small,low,False,False,False,False,False,True,True
100204,small,low,False,False,False,False,False,True,True
100205,xx-large,low,False,False,False,False,False,True,True
100208,x-large,low,False,False,False,False,False,True,True
100214,small,low,False,False,False,False,False,True,True
100216,x-large,low,False,False,False,False,False,True,True
100229,small,low,False,False,False,False,False,True,True
100235,x-small,low,False,False,False,False,False,True,True
100237,medium,low,False,False,False,False,False,True,True
100240,xx-large,low,False,False,False,False,False,True,True
100242,x-small,low,False,False,False,False,False,True,True
100243,x-large,low,False,False,False,False,False,True,True
100244,xx-large,low,False,False,False,False,True,True,True
100245,large,low,False,False,False,False,False,True,True
100246,small,low,False,False,False,False,False,True,True
100247,medium,low,False,False,False,False,False,False,False
100252,x-small,low,False,False,False,False,False,True,True
100256,x-large,low,False,False,False,False,False,True,True
100257,x-large,low,False,False,False,False,False,True,True
100265,x-large,low,False,False,False,False,False,True,True
100271,xx-small,low,False,False,False,False,False,False,False
100272,xx-small,low,False,False,False,False,False,True,True
